[[43.651313, -79.386014], 1]
[[43.651333, -79.386667], 1]
[[43.651346, -79.387872], 1]
[[43.65141, -79.3801], 1]
[[43.651419, -79.384462], 1]
[[43.651427, -79.384239], 1]
[[43.651438, -79.377884], 1]
[[43.651466, -79.363975], 1]
[[43.651486, -79.383248], 1]
[[43.651486, -79.372242], 1]
[[43.651513, -79.394117], 1]
[[43.651564, -79.383655], 1]
[[43.65161, -79.385275], 1]
[[43.651644, -79.383798], 1]
[[43.65165, -79.383537], 1]
[[43.651725, -79.370231], 1]
[[43.651763, -79.382089], 1]
[[43.651794, -79.384995], 1]
[[43.651838, -79.382964], 1]
[[43.651869, -79.383125], 1]
[[43.651913, -79.382392], 1]
[[43.651927, -79.387789], 1]
[[43.651944, -79.383859], 1]
[[43.651944, -79.377819], 1]
[[43.651961, -79.383087], 1]
[[43.651966, -79.383178], 1]
[[43.652022, -79.383698], 1]
[[43.652022, -79.381928], 1]
[[43.652022, -79.381614], 1]
[[43.652027, -79.392162], 1]
[[43.652048, -79.383553], 1]
[[43.652091, -79.383431], 1]
[[43.652091, -79.381462], 1]
[[43.652122, -79.383291], 1]
[[43.652133, -79.381409], 1]
[[43.652146, -79.383058], 1]
[[43.652188, -79.383075], 1]
[[43.652203, -79.382942], 1]
[[43.652211, -79.383562], 1]
[[43.652225, -79.383851], 1]
[[43.65223, -79.382806], 1]
[[43.652247, -79.383398], 1]
[[43.652266, -79.382684], 1]
[[43.652272, -79.382723], 1]
[[43.652275, -79.37988], 1]
[[43.652282, -79.383669], 1]
[[43.652283, -79.382934], 1]
[[43.652295, -79.379948], 1]
[[43.652324, -79.381725], 1]
[[43.652324, -79.380952], 1]
[[43.652338, -79.385987], 1]
[[43.65234, -79.390769], 1]
[[43.652371, -79.38372], 1]
[[43.652375, -79.38845], 1]
[[43.652408, -79.383148], 1]
[[43.652455, -79.382703], 1]
[[43.652487, -79.379374], 1]
[[43.652488, -79.383409], 1]
[[43.65251, -79.381281], 1]
[[43.652514, -79.383033], 1]
[[43.652522, -79.382764], 1]
[[43.652526, -79.383634], 1]
[[43.652529, -79.384304], 1]
[[43.652541, -79.383112], 1]
[[43.652552, -79.383134], 1]
[[43.652552, -79.379525], 1]
[[43.652566, -79.381322], 1]
[[43.652575, -79.379662], 1]
[[43.652591, -79.383125], 1]
[[43.652594, -79.3832], 1]
[[43.652602, -79.392212], 1]
[[43.652608, -79.383995], 1]
[[43.652627, -79.394014], 1]
[[43.652627, -79.383834], 1]
[[43.652633, -79.383003], 1]
[[43.652636, -79.380112], 1]
[[43.65265, -79.375634], 1]
[[43.652652, -79.383095], 1]
[[43.652652, -79.382873], 1]
[[43.652653, -79.3838], 1]
[[43.652666, -79.390951], 1]
[[43.652666, -79.38372], 1]
[[43.652674, -79.383451], 1]
[[43.652674, -79.382539], 1]
[[43.65268, -79.388328], 1]
[[43.652691, -79.383287], 1]
[[43.652711, -79.379784], 1]
[[43.652716, -79.383239], 1]
[[43.652722, -79.382066], 1]
[[43.65273, -79.383178], 1]
[[43.652741, -79.383173], 1]
[[43.652741, -79.383142], 1]
[[43.652741, -79.383112], 1]
[[43.652747, -79.383209], 1]
[[43.652761, -79.383031], 1]
[[43.652767, -79.383795], 1]
[[43.652774, -79.384329], 1]
[[43.652775, -79.384187], 1]
[[43.652784, -79.384355], 1]
[[43.652813, -79.365503], 1]
[[43.652852, -79.379611], 1]
[[43.652866, -79.36532], 1]
[[43.652875, -79.365259], 1]
[[43.652886, -79.384081], 1]
[[43.652887, -79.380056], 1]
[[43.652888, -79.365334], 1]
[[43.652888, -79.365228], 1]
[[43.652888, -79.365142], 1]
[[43.652905, -79.365325], 1]
[[43.652916, -79.365295], 1]
[[43.652919, -79.365617], 1]
[[43.652922, -79.392753], 1]
[[43.652922, -79.365295], 1]
[[43.652936, -79.365425], 1]
[[43.652941, -79.365325], 1]
[[43.652952, -79.365281], 1]
[[43.652983, -79.391962], 1]
[[43.653013, -79.392503], 1]
[[43.653033, -79.365487], 1]
[[43.653038, -79.383881], 1]
[[43.653055, -79.379166], 1]
[[43.653058, -79.365303], 1]
[[43.65307, -79.383663], 1]
[[43.653088, -79.365639], 1]
[[43.653094, -79.365228], 1]
[[43.65313, -79.365364], 1]
[[43.653133, -79.380259], 1]
[[43.653141, -79.38445], 1]
[[43.653141, -79.365289], 1]
[[43.653147, -79.384845], 1]
[[43.653167, -79.383797], 1]
[[43.653168, -79.383798], 1]
[[43.653172, -79.384414], 1]
[[43.653197, -79.396478], 1]
